Organization legal name or 'doing business as' name,Group PAC ID, State,Measure Identifier,Measure Title,Measure Performance Rate,Reporting Mechanism,Reported on PC Live Site
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,PQRS_GRP_112_1,Breast Cancer Screening,73.000,WI,Y
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,PQRS_GRP_113_1,Colorectal Cancer Screening,70.000,WI,Y
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,PQRS_GRP_117_1,Diabetes: Eye Exam,95.000,WI,Y
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),93.000,WI,Y
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,86.000,WI,Y
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,77.000,WI,Y
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,65.000,WI,Y
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,92.000,WI,Y
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,95.000,WI,Y
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,63.000,WI,Y
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,PQRS_GRP_318_1,Falls: Screening for Fall Risk,85.000,WI,Y
CARLE HEALTH CARE INCORPORATED,3577515774.000,IL,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),100.000,WI,Y
DERMATOLOGY SPECIALISTS PA,3577522143.000,NC,PQRS_GRP_137_1,Melanoma: Continuity of Care Â– Recall System,100.000,REG,Y
DERMATOLOGY SPECIALISTS PA,3577522143.000,NC,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,100.000,REG,N
DERMATOLOGY SPECIALISTS PA,3577522143.000,NC,PQRS_GRP_265_1,Biopsy Follow-Up,100.000,REG,Y
SOUTH BEND ORTHOPAEDIC ASSOCIATES INC,3577536440.000,IN,PQRS_GRP_182_1,Functional Outcome Assessment,100.000,REG,Y
ADULT BEHAVIORAL SERVICES LLC,3577537380.000,MA,PQRS_GRP_47_1,Care Plan,100.000,REG,Y
PARKWAY REGIONAL MEDICAL CLINIC INC,3577539964.000,KY,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use)*,95.000,REG,Y
FLORIDA EAR AND SINUS CENTER PA,3577548825.000,FL,PQRS_GRP_334_1,Adult Sinusitis: More than One Computerized Tomography (CT) Scan Within 90 Days for Chronic Sinusitis (Overuse),99.000,REG,N
FLORIDA EAR AND SINUS CENTER PA,3577548825.000,FL,PQRS_GRP_93_1,Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy Â– Avoidance of Inappropriate Use,96.000,REG,Y
LIFESTYLE PHYSICAL THERAPY AND BALANCE CENTER LLC,3577566520.000,IL,PQRS_GRP_131_1,Pain Assessment and Follow-Up,100.000,REG,Y
LIFESTYLE PHYSICAL THERAPY AND BALANCE CENTER LLC,3577566520.000,IL,PQRS_GRP_154_1,Falls: Risk Assessment,97.000,REG,Y
LIFESTYLE PHYSICAL THERAPY AND BALANCE CENTER LLC,3577566520.000,IL,PQRS_GRP_182_1,Functional Outcome Assessment,100.000,REG,Y
ORTHOSPORT PHYSICAL THERAPY CENTER INC,3577579069.000,MI,PQRS_GRP_131_1,Pain Assessment and Follow-Up,100.000,REG,Y
ORTHOSPORT PHYSICAL THERAPY CENTER INC,3577579069.000,MI,PQRS_GRP_182_1,Functional Outcome Assessment,100.000,REG,Y
GENESIS URGENT CARE PHYSICIANS, LLC,3577612779.000,OH,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,100.000,REG,Y
GENESIS URGENT CARE PHYSICIANS, LLC,3577612779.000,OH,PQRS_GRP_121_1,Adult Kidney Disease: Laboratory Testing (Lipid Profile),100.000,REG,Y
GENESIS URGENT CARE PHYSICIANS, LLC,3577612779.000,OH,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,100.000,REG,Y
GENESIS URGENT CARE PHYSICIANS, LLC,3577612779.000,OH,PQRS_GRP_7_2,Coronary Artery Disease (CAD): Beta-Blocker Therapy Â– Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF < 40%),100.000,REG,Y
MARSHALL MEDICAL CENTER NORTH,3577619873.000,AL,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,90.000,REG,Y
PROVIDENCE HEALTH AND SERVICES - WASHINGTON,3577623115.000,WA,PQRS_GRP_47_1,Care Plan,74.000,REG,Y
GSPS GASTROENTEROLOGY PLLC,3577741206.000,TX,PQRS_GRP_131_1,Pain Assessment and Follow-Up,100.000,REG,Y
GSPS GASTROENTEROLOGY PLLC,3577741206.000,TX,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,16.000,REG,N
GSPS GASTROENTEROLOGY PLLC,3577741206.000,TX,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,3.000,REG,Y
NEWPORT BEACH SURGICAL AND MEDICAL GROUP INC,3577784750.000,CA,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,53.000,REG,Y
NEWPORT BEACH SURGICAL AND MEDICAL GROUP INC,3577784750.000,CA,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,11.000,REG,N
NEWPORT BEACH SURGICAL AND MEDICAL GROUP INC,3577784750.000,CA,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,0.000,REG,Y
NEWPORT BEACH SURGICAL AND MEDICAL GROUP INC,3577784750.000,CA,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,16.000,REG,Y
PHYSICAL THERAPY SPECIALISTS OF IDAHO,3577791920.000,ID,PQRS_GRP_131_1,Pain Assessment and Follow-Up,100.000,REG,Y
PHYSICAL THERAPY SPECIALISTS OF IDAHO,3577791920.000,ID,PQRS_GRP_154_1,Falls: Risk Assessment,100.000,REG,Y
PHYSICAL THERAPY SPECIALISTS OF IDAHO,3577791920.000,ID,PQRS_GRP_155_1,Falls: Plan of Care,100.000,REG,Y
PHYSICAL THERAPY SPECIALISTS OF IDAHO,3577791920.000,ID,PQRS_GRP_182_1,Functional Outcome Assessment,100.000,REG,Y
YORKVILLE PHYSICAL THERAPY AND SPORTS MEDICINE CENTER, LLC,3678460821.000,IL,PQRS_GRP_131_1,Pain Assessment and Follow-Up,100.000,REG,Y
YORKVILLE PHYSICAL THERAPY AND SPORTS MEDICINE CENTER, LLC,3678460821.000,IL,PQRS_GRP_154_1,Falls: Risk Assessment,98.000,REG,Y
YORKVILLE PHYSICAL THERAPY AND SPORTS MEDICINE CENTER, LLC,3678460821.000,IL,PQRS_GRP_155_1,Falls: Plan of Care,88.000,REG,Y
YORKVILLE PHYSICAL THERAPY AND SPORTS MEDICINE CENTER, LLC,3678460821.000,IL,PQRS_GRP_182_1,Functional Outcome Assessment,100.000,REG,Y
MEMORIAL CLINICAL PHYSIOLOGY GROUP,3678464716.000,NY,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,99.000,REG,Y
MEMORIAL CLINICAL PHYSIOLOGY GROUP,3678464716.000,NY,PQRS_GRP_131_1,Pain Assessment and Follow-Up,75.000,REG,Y
MEMORIAL CLINICAL PHYSIOLOGY GROUP,3678464716.000,NY,PQRS_GRP_154_1,Falls: Risk Assessment,92.000,REG,Y
MEMORIAL CLINICAL PHYSIOLOGY GROUP,3678464716.000,NY,PQRS_GRP_194_1,Oncology: Cancer Stage Documented,100.000,REG,Y
MEMORIAL CLINICAL PHYSIOLOGY GROUP,3678464716.000,NY,PQRS_GRP_47_1,Care Plan,94.000,REG,Y
SANSUM CLINIC,3678471976.000,CA,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,87.000,REG,Y
SANSUM CLINIC,3678471976.000,CA,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,52.000,REG,Y
UNIVERSITY OF CONNECTICUT HEALTH CENTER,3678472016.000,CT,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,77.000,REG,Y
UNIVERSITY OF CONNECTICUT HEALTH CENTER,3678472016.000,CT,PQRS_GRP_163_1,Diabetes: Foot Exam,35.000,REG,Y
UNIVERSITY OF MARYLAND COMMUNITY MEDICAL GROUP INC,3678472214.000,MD,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,81.000,REG,Y
GREENWICH HOSPITAL,3678476710.000,CT,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,83.000,REG,Y
GREENWICH HOSPITAL,3678476710.000,CT,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,23.000,REG,N
GREENWICH HOSPITAL,3678476710.000,CT,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,17.000,REG,Y
THE MEDICAL CENTER OF CENTRAL GEORGIA,3678477445.000,GA,PQRS_GRP_163_1,Diabetes: Foot Exam,38.000,REG,Y
FORSYTH MEDICAL GROUP LLC,3678478054.000,NC,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,85.000,WI,Y
FORSYTH MEDICAL GROUP LLC,3678478054.000,NC,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,89.000,WI,Y
FORSYTH MEDICAL GROUP LLC,3678478054.000,NC,PQRS_GRP_112_1,Breast Cancer Screening,83.000,WI,Y
FORSYTH MEDICAL GROUP LLC,3678478054.000,NC,PQRS_GRP_113_1,Colorectal Cancer Screening,75.000,WI,Y
FORSYTH MEDICAL GROUP LLC,3678478054.000,NC,PQRS_GRP_117_1,Diabetes: Eye Exam,62.000,WI,Y
FORSYTH MEDICAL GROUP LLC,3678478054.000,NC,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),91.000,WI,Y
FORSYTH MEDICAL GROUP LLC,3678478054.000,NC,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,51.000,WI,Y
FORSYTH MEDICAL GROUP LLC,3678478054.000,NC,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,99.000,WI,Y
FORSYTH MEDICAL GROUP LLC,3678478054.000,NC,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,64.000,WI,Y
FORSYTH MEDICAL GROUP LLC,3678478054.000,NC,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,90.000,WI,Y
FORSYTH MEDICAL GROUP LLC,3678478054.000,NC,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,97.000,WI,Y
FORSYTH MEDICAL GROUP LLC,3678478054.000,NC,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,97.000,WI,Y
FORSYTH MEDICAL GROUP LLC,3678478054.000,NC,PQRS_GRP_318_1,Falls: Screening for Fall Risk,80.000,WI,Y
FORSYTH MEDICAL GROUP LLC,3678478054.000,NC,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),70.656,WI,Y
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,60.000,WI,Y
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,91.000,WI,Y
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,PQRS_GRP_112_1,Breast Cancer Screening,82.000,WI,Y
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,PQRS_GRP_113_1,Colorectal Cancer Screening,80.000,WI,Y
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,PQRS_GRP_117_1,Diabetes: Eye Exam,88.000,WI,Y
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),89.000,WI,Y
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,49.000,WI,Y
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,94.000,WI,Y
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,66.000,WI,Y
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,90.000,WI,Y
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,95.000,WI,Y
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,39.000,WI,Y
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,PQRS_GRP_318_1,Falls: Screening for Fall Risk,73.000,WI,Y
SOUTH SHORE MEDICAL CENTER, INC.,3678487444.000,MA,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),97.000,WI,Y
MAKOVICKA SYLLIAASEN PC,3678514387.000,NE,PQRS_GRP_131_1,Pain Assessment and Follow-Up,100.000,REG,Y
MAKOVICKA SYLLIAASEN PC,3678514387.000,NE,PQRS_GRP_154_1,Falls: Risk Assessment,98.000,REG,Y
MAKOVICKA SYLLIAASEN PC,3678514387.000,NE,PQRS_GRP_182_1,Functional Outcome Assessment,100.000,REG,Y
MCBRIDE CLINIC ORTHOPEDIC HOSPITAL, LLC,3678514809.000,OK,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic Â– First OR Second Generation Cephalosporin,100.000,REG,Y
MCBRIDE CLINIC ORTHOPEDIC HOSPITAL, LLC,3678514809.000,OK,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),100.000,REG,Y
MCBRIDE CLINIC ORTHOPEDIC HOSPITAL, LLC,3678514809.000,OK,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),100.000,REG,Y
BONE AND JOINT CLINIC S.C.,3678541919.000,WI,PQRS_GRP_109_1,Osteoarthritis (OA): Function and Pain Assessment,92.000,REG,Y
BONE AND JOINT CLINIC S.C.,3678541919.000,WI,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic Â– First OR Second Generation Cephalosporin,100.000,REG,Y
BONE AND JOINT CLINIC S.C.,3678541919.000,WI,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),100.000,REG,Y
BONE AND JOINT CLINIC S.C.,3678541919.000,WI,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),100.000,REG,Y
UNI HOME PROJECT PSYCHIATRIC,3678545563.000,UT,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,31.000,REG,Y
UNI HOME PROJECT PSYCHIATRIC,3678545563.000,UT,PQRS_GRP_163_1,Diabetes: Foot Exam,3.000,REG,Y
UNI HOME PROJECT PSYCHIATRIC,3678545563.000,UT,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,7.000,REG,N
DERMATOLOGY ASSOCIATES OF GEORGIA, LLC,3678547569.000,GA,PQRS_GRP_137_1,Melanoma: Continuity of Care Â– Recall System,100.000,REG,Y
DERMATOLOGY ASSOCIATES OF GEORGIA, LLC,3678547569.000,GA,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,100.000,REG,N
DERMATOLOGY ASSOCIATES OF GEORGIA, LLC,3678547569.000,GA,PQRS_GRP_265_1,Biopsy Follow-Up,100.000,REG,Y
ORLANDO ORTHOPAEDIC CENTER MUMBY SHEA MCBRIDE ROSEN MDPA,3678562840.000,FL,PQRS_GRP_131_1,Pain Assessment and Follow-Up,100.000,REG,Y
ORLANDO ORTHOPAEDIC CENTER MUMBY SHEA MCBRIDE ROSEN MDPA,3678562840.000,FL,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,74.000,REG,Y
ORLANDO ORTHOPAEDIC CENTER MUMBY SHEA MCBRIDE ROSEN MDPA,3678562840.000,FL,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic Â– First OR Second Generation Cephalosporin,100.000,REG,Y
ORLANDO ORTHOPAEDIC CENTER MUMBY SHEA MCBRIDE ROSEN MDPA,3678562840.000,FL,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),100.000,REG,Y
ORLANDO ORTHOPAEDIC CENTER MUMBY SHEA MCBRIDE ROSEN MDPA,3678562840.000,FL,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),100.000,REG,Y
ORLANDO ORTHOPAEDIC CENTER MUMBY SHEA MCBRIDE ROSEN MDPA,3678562840.000,FL,PQRS_GRP_48_1,Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,91.000,REG,Y
HOUSTON EAR NOSE AND THROAT CLINIC LLP,3678569860.000,TX,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,10.000,REG,N
HOUSTON EAR NOSE AND THROAT CLINIC LLP,3678569860.000,TX,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,1.000,REG,Y
HOUSTON EAR NOSE AND THROAT CLINIC LLP,3678569860.000,TX,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use)*,47.000,REG,Y
HOUSTON EAR NOSE AND THROAT CLINIC LLP,3678569860.000,TX,PQRS_GRP_53_1,Asthma: Pharmacologic Therapy for Persistent Asthma - Ambulatory Care Setting,75.000,REG,N
HOUSTON EAR NOSE AND THROAT CLINIC LLP,3678569860.000,TX,PQRS_GRP_53_2,Asthma: Pharmacologic Therapy for Persistent Asthma - Ambulatory Care Setting,89.000,REG,N
HOUSTON EAR NOSE AND THROAT CLINIC LLP,3678569860.000,TX,PQRS_GRP_53_3,Asthma: Pharmacologic Therapy for Persistent Asthma - Ambulatory Care Setting,93.000,REG,Y
HOUSTON EAR NOSE AND THROAT CLINIC LLP,3678569860.000,TX,PQRS_GRP_93_1,Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy Â– Avoidance of Inappropriate Use,53.000,REG,Y
CAREMORE MEDICAL GROUP INC,3678584497.000,CA,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,68.000,REG,Y
ALPINE ORTHOPAEDIC AND SPINE A PROFESSIONAL CORPORATION,3678615390.000,WA,PQRS_GRP_109_1,Osteoarthritis (OA): Function and Pain Assessment,100.000,REG,Y
ALPINE ORTHOPAEDIC AND SPINE A PROFESSIONAL CORPORATION,3678615390.000,WA,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic Â– First OR Second Generation Cephalosporin,91.000,REG,Y
ALPINE ORTHOPAEDIC AND SPINE A PROFESSIONAL CORPORATION,3678615390.000,WA,PQRS_GRP_41_1,Osteoporosis: Pharmacologic Therapy for Men and Women Aged 50 Years and Older,72.000,REG,Y
ALPINE ORTHOPAEDIC AND SPINE A PROFESSIONAL CORPORATION,3678615390.000,WA,PQRS_GRP_48_1,Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,41.000,REG,Y
CALIFORNIA HAND REHABILITATION INC,3678655974.000,CA,PQRS_GRP_131_1,Pain Assessment and Follow-Up,100.000,REG,Y
CALIFORNIA HAND REHABILITATION INC,3678655974.000,CA,PQRS_GRP_154_1,Falls: Risk Assessment,96.000,REG,Y
CALIFORNIA HAND REHABILITATION INC,3678655974.000,CA,PQRS_GRP_155_1,Falls: Plan of Care,100.000,REG,Y
CALIFORNIA HAND REHABILITATION INC,3678655974.000,CA,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,100.000,REG,Y
CALIFORNIA HAND REHABILITATION INC,3678655974.000,CA,PQRS_GRP_181_1,Elder Maltreatment Screen and Follow-Up Plan,100.000,REG,Y
CALIFORNIA HAND REHABILITATION INC,3678655974.000,CA,PQRS_GRP_182_1,Functional Outcome Assessment,100.000,REG,Y
PHYSICIAN BUSINESS ALLIANCE INC,3678657533.000,FL,PQRS_GRP_109_1,Osteoarthritis (OA): Function and Pain Assessment,60.000,REG,Y
PHYSICIAN BUSINESS ALLIANCE INC,3678657533.000,FL,PQRS_GRP_131_1,Pain Assessment and Follow-Up,41.000,REG,Y
PHYSICIAN BUSINESS ALLIANCE INC,3678657533.000,FL,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic Â– First OR Second Generation Cephalosporin,100.000,REG,Y
PHYSICIAN BUSINESS ALLIANCE INC,3678657533.000,FL,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),100.000,REG,Y
PHYSICIAN BUSINESS ALLIANCE INC,3678657533.000,FL,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),100.000,REG,Y
PHYSICIAN BUSINESS ALLIANCE INC,3678657533.000,FL,PQRS_GRP_47_1,Care Plan,25.000,REG,Y
SOUTHERN ILLINOIS MEDICAL SERVICES, NFP,3678677390.000,IL,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,77.000,REG,Y
SPINE AND PAIN INSTITUTE OF ORANGE COUNTY, INC.,3678738598.000,CA,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,100.000,REG,Y
NJ ACUTE CARE SPECIALISTS PROFESSIONAL CORPORATION,3678742269.000,NJ,PQRS_GRP_32_1,Stroke and Stroke Rehabilitation: Discharged on Antithrombotic Therapy,88.000,REG,Y
NJ ACUTE CARE SPECIALISTS PROFESSIONAL CORPORATION,3678742269.000,NJ,PQRS_GRP_33_1,Stroke and Stroke Rehabilitation: Anticoagulant Therapy Prescribed for Atrial Fibrillation (AF) at Discharge,81.000,REG,Y
NJ ACUTE CARE SPECIALISTS PROFESSIONAL CORPORATION,3678742269.000,NJ,PQRS_GRP_47_1,Care Plan,90.000,REG,Y
ALABAMA BONE AND JOINT CLINIC,LLC,3678757739.000,AL,PQRS_GRP_126_1,Diabetes Mellitus: Diabetic Foot and Ankle Care, Peripheral Neuropathy Â– Neurological Evaluation,4.000,REG,Y
ALABAMA BONE AND JOINT CLINIC,LLC,3678757739.000,AL,PQRS_GRP_154_1,Falls: Risk Assessment,17.000,REG,Y
ALABAMA BONE AND JOINT CLINIC,LLC,3678757739.000,AL,PQRS_GRP_155_1,Falls: Plan of Care,17.000,REG,Y
ALABAMA BONE AND JOINT CLINIC,LLC,3678757739.000,AL,PQRS_GRP_163_1,Diabetes: Foot Exam,8.000,REG,Y
ALABAMA BONE AND JOINT CLINIC,LLC,3678757739.000,AL,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,1.000,REG,N
ALABAMA BONE AND JOINT CLINIC,LLC,3678757739.000,AL,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,0.000,REG,Y
ALABAMA BONE AND JOINT CLINIC,LLC,3678757739.000,AL,PQRS_GRP_46_1,Medication Reconciliation,91.000,REG,N
ALABAMA BONE AND JOINT CLINIC,LLC,3678757739.000,AL,PQRS_GRP_46_2,Medication Reconciliation,92.000,REG,Y
LAKEWAY DERMATOLOGY ASSOCIATES PC,3678892684.000,TN,PQRS_GRP_137_1,Melanoma: Continuity of Care Â– Recall System,100.000,REG,Y
LAKEWAY DERMATOLOGY ASSOCIATES PC,3678892684.000,TN,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,56.000,REG,Y
LAKEWAY DERMATOLOGY ASSOCIATES PC,3678892684.000,TN,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,100.000,REG,N
LAKEWAY DERMATOLOGY ASSOCIATES PC,3678892684.000,TN,PQRS_GRP_265_1,Biopsy Follow-Up,100.000,REG,Y
LAKEWAY DERMATOLOGY ASSOCIATES PC,3678892684.000,TN,PQRS_GRP_337_1,Tuberculosis Prevention for Psoriasis, Psoriatic Arthritis and Rheumatoid Arthritis Patients on a Biological Immune Response Modifier,100.000,REG,Y
EDMONDS FAMILY MEDICINE CLINIC PS,3779471875.000,WA,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,79.000,WI,Y
EDMONDS FAMILY MEDICINE CLINIC PS,3779471875.000,WA,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,71.000,WI,Y
EDMONDS FAMILY MEDICINE CLINIC PS,3779471875.000,WA,PQRS_GRP_112_1,Breast Cancer Screening,65.000,WI,Y
EDMONDS FAMILY MEDICINE CLINIC PS,3779471875.000,WA,PQRS_GRP_113_1,Colorectal Cancer Screening,73.000,WI,Y
EDMONDS FAMILY MEDICINE CLINIC PS,3779471875.000,WA,PQRS_GRP_117_1,Diabetes: Eye Exam,52.000,WI,Y
EDMONDS FAMILY MEDICINE CLINIC PS,3779471875.000,WA,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),100.000,WI,Y
EDMONDS FAMILY MEDICINE CLINIC PS,3779471875.000,WA,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,88.000,WI,Y
EDMONDS FAMILY MEDICINE CLINIC PS,3779471875.000,WA,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,100.000,WI,Y
EDMONDS FAMILY MEDICINE CLINIC PS,3779471875.000,WA,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,62.000,WI,Y
EDMONDS FAMILY MEDICINE CLINIC PS,3779471875.000,WA,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,99.000,WI,Y
