Organization legal name or 'doing business as' name,Group PAC ID, State,Measure Identifier,Measure Title,Measure Performance Rate,Footnote,State,Participating in PQRS,Inverse Measure,Reporting Mechanism,Reported on PC Live Site
TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,2961314299.000,$null$,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,64.000,$null$,PA,Y,N,WI,Y
TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,2961314299.000,$null$,PQRS_GRP_318_1,Falls: Screening for Fall Risk,47.000,$null$,PA,Y,N,WI,Y
TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,2961314299.000,$null$,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),93.000,$null$,PA,Y,N,WI,Y
REGIONAL WOMENS HEALTH GROUP LLC,2961316328.000,$null$,PQRS_GRP_41_1,Osteoporosis: Pharmacologic Therapy for Men and Women Aged 50 Years and Older,66.000,$null$,NJ,N,N,REG,Y
EASTERN CONNECTICUT REHABILITATION CENTERS,2961395173.000,$null$,PQRS_GRP_131_1,Pain Assessment and Follow-Up,99.000,$null$,CT,Y,N,REG,Y
EASTERN CONNECTICUT REHABILITATION CENTERS,2961395173.000,$null$,PQRS_GRP_154_1,Falls: Risk Assessment,94.000,$null$,CT,Y,N,REG,Y
EASTERN CONNECTICUT REHABILITATION CENTERS,2961395173.000,$null$,PQRS_GRP_155_1,Falls: Plan of Care,100.000,$null$,CT,Y,N,REG,Y
EASTERN CONNECTICUT REHABILITATION CENTERS,2961395173.000,$null$,PQRS_GRP_182_1,Functional Outcome Assessment,98.000,$null$,CT,Y,N,REG,Y
TRI-COUNTY HOSPITAL INC.,2961395272.000,$null$,PQRS_GRP_146_1,Radiology: Inappropriate Use of Â“Probably BenignÂ” Assessment Category in Mammography Screening*,0.000,$null$,MN,Y,Y,REG,Y
TRI-COUNTY HOSPITAL INC.,2961395272.000,$null$,PQRS_GRP_193_1,Perioperative Temperature Management,100.000,$null$,MN,Y,N,REG,Y
TRI-COUNTY HOSPITAL INC.,2961395272.000,$null$,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic Â– First OR Second Generation Cephalosporin,100.000,$null$,MN,Y,N,REG,Y
TRI-COUNTY HOSPITAL INC.,2961395272.000,$null$,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),100.000,$null$,MN,Y,N,REG,Y
TRI-COUNTY HOSPITAL INC.,2961395272.000,$null$,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),93.000,$null$,MN,Y,N,REG,Y
TRI-COUNTY HOSPITAL INC.,2961395272.000,$null$,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,89.000,$null$,MN,Y,N,REG,Y
TREASURE COAST ORTHO ASSOCIATES PA,2961415401.000,$null$,PQRS_GRP_131_1,Pain Assessment and Follow-Up,100.000,$null$,FL,Y,N,REG,Y
TREASURE COAST ORTHO ASSOCIATES PA,2961415401.000,$null$,PQRS_GRP_154_1,Falls: Risk Assessment,100.000,$null$,FL,Y,N,REG,Y
TREASURE COAST ORTHO ASSOCIATES PA,2961415401.000,$null$,PQRS_GRP_155_1,Falls: Plan of Care,100.000,$null$,FL,Y,N,REG,Y
TREASURE COAST ORTHO ASSOCIATES PA,2961415401.000,$null$,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic Â– First OR Second Generation Cephalosporin,100.000,$null$,FL,Y,N,REG,Y
TREASURE COAST ORTHO ASSOCIATES PA,2961415401.000,$null$,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),100.000,$null$,FL,Y,N,REG,Y
TREASURE COAST ORTHO ASSOCIATES PA,2961415401.000,$null$,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),100.000,$null$,FL,Y,N,REG,Y
WESTON PAXXON PT OT AND SLP PLLC,2961423611.000,$null$,PQRS_GRP_131_1,Pain Assessment and Follow-Up,82.000,$null$,NY,Y,N,REG,Y
WESTON PAXXON PT OT AND SLP PLLC,2961423611.000,$null$,PQRS_GRP_154_1,Falls: Risk Assessment,85.000,$null$,NY,Y,N,REG,Y
WESTON PAXXON PT OT AND SLP PLLC,2961423611.000,$null$,PQRS_GRP_155_1,Falls: Plan of Care,99.000,$null$,NY,Y,N,REG,Y
WESTON PAXXON PT OT AND SLP PLLC,2961423611.000,$null$,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,96.000,$null$,NY,Y,N,REG,Y
WESTON PAXXON PT OT AND SLP PLLC,2961423611.000,$null$,PQRS_GRP_182_1,Functional Outcome Assessment,88.000,$null$,NY,Y,N,REG,Y
NASHVILLE SKIN AND CANCER, PLC,2961446026.000,$null$,PQRS_GRP_137_1,Melanoma: Continuity of Care Â– Recall System,100.000,$null$,TN,Y,N,REG,Y
NASHVILLE SKIN AND CANCER, PLC,2961446026.000,$null$,PQRS_GRP_138_1,Melanoma: Coordination of Care,93.000,$null$,TN,Y,N,REG,Y
NASHVILLE SKIN AND CANCER, PLC,2961446026.000,$null$,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,94.000,$null$,TN,Y,N,REG,Y
NASHVILLE SKIN AND CANCER, PLC,2961446026.000,$null$,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,100.000,$null$,TN,Y,N,REG,N
NASHVILLE SKIN AND CANCER, PLC,2961446026.000,$null$,PQRS_GRP_265_1,Biopsy Follow-Up,99.000,$null$,TN,Y,N,REG,Y
NORTHEAST OHIO VASCULAR ASSOCIATES INC,2961452305.000,$null$,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,98.000,$null$,OH,Y,N,REG,Y
NORTHEAST OHIO VASCULAR ASSOCIATES INC,2961452305.000,$null$,PQRS_GRP_47_1,Care Plan,19.000,$null$,OH,Y,N,REG,Y
NORTHEAST OHIO VASCULAR ASSOCIATES INC,2961452305.000,$null$,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,100.000,$null$,OH,Y,N,REG,Y
CHOICE PHYSICAL THERAPY LLC,2961479464.000,$null$,PQRS_GRP_131_1,Pain Assessment and Follow-Up,100.000,$null$,VT,Y,N,REG,Y
CHOICE PHYSICAL THERAPY LLC,2961479464.000,$null$,PQRS_GRP_154_1,Falls: Risk Assessment,79.000,$null$,VT,Y,N,REG,Y
CHOICE PHYSICAL THERAPY LLC,2961479464.000,$null$,PQRS_GRP_182_1,Functional Outcome Assessment,100.000,$null$,VT,Y,N,REG,Y
KENNETT HMA PHYSICIAN MANAGEMENT, LLC,2961503149.000,$null$,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,82.000,$null$,MO,Y,N,REG,Y
KENNETT HMA PHYSICIAN MANAGEMENT, LLC,2961503149.000,$null$,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),23.000,$null$,MO,Y,N,REG,Y
KENNETT HMA PHYSICIAN MANAGEMENT, LLC,2961503149.000,$null$,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,86.000,$null$,MO,Y,N,REG,Y
PREMIER PHYSICAL THERAPY AND SPORTS PERFORMANCE, LLC,2961505243.000,$null$,PQRS_GRP_131_1,Pain Assessment and Follow-Up,100.000,$null$,DE,Y,N,REG,Y
PREMIER PHYSICAL THERAPY AND SPORTS PERFORMANCE, LLC,2961505243.000,$null$,PQRS_GRP_154_1,Falls: Risk Assessment,100.000,$null$,DE,Y,N,REG,Y
PREMIER PHYSICAL THERAPY AND SPORTS PERFORMANCE, LLC,2961505243.000,$null$,PQRS_GRP_155_1,Falls: Plan of Care,100.000,$null$,DE,Y,N,REG,Y
PREMIER PHYSICAL THERAPY AND SPORTS PERFORMANCE, LLC,2961505243.000,$null$,PQRS_GRP_182_1,Functional Outcome Assessment,100.000,$null$,DE,Y,N,REG,Y
HCT PATHOLOGY SERVICES LLC,2961509856.000,$null$,PQRS_GRP_397_1,Melanoma Reporting,100.000,$null$,MD,N,N,REG,Y
TEXARKANA REGIONAL HEALTHCARE NETWORK,2961540083.000,$null$,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use)*,63.000,$null$,TX,Y,Y,REG,Y
TEXARKANA REGIONAL HEALTHCARE NETWORK,2961540083.000,$null$,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,8.000,$null$,TX,Y,N,REG,Y
NORTHEAST ARKANSAS CLINIC CHARITABLE FOUNDATION, INC.,2961547526.000,$null$,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,98.000,$null$,AR,Y,N,REG,Y
NORTHEAST ARKANSAS CLINIC CHARITABLE FOUNDATION, INC.,2961547526.000,$null$,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,49.000,$null$,AR,Y,N,REG,Y
WELLBRIDGE PHYSICAL THERAPY,2961642012.000,$null$,PQRS_GRP_131_1,Pain Assessment and Follow-Up,100.000,$null$,MA,Y,N,REG,Y
WELLBRIDGE PHYSICAL THERAPY,2961642012.000,$null$,PQRS_GRP_154_1,Falls: Risk Assessment,92.000,$null$,MA,Y,N,REG,Y
WELLBRIDGE PHYSICAL THERAPY,2961642012.000,$null$,PQRS_GRP_182_1,Functional Outcome Assessment,99.000,$null$,MA,Y,N,REG,Y
NORTH MISSISSIPPI FACULTY PRACTICE,2961658950.000,$null$,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,79.000,$null$,MS,Y,N,REG,Y
CAMDEN EMERGENCY GROUP LLC,2961665369.000,$null$,PQRS_GRP_326_1,Atrial Fibrillation and Atrial Flutter: Chronic Anticoagulation Therapy,83.000,$null$,MO,Y,N,REG,Y
CAMDEN EMERGENCY GROUP LLC,2961665369.000,$null$,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,99.000,$null$,MO,Y,N,REG,Y
OSU PLASTIC SURGERY, LLC,2961677679.000,$null$,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,97.000,$null$,OH,Y,N,REG,Y
UNIVERSITY OF UTAH SPECIALTY SERVICES,2961726831.000,$null$,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,51.000,$null$,UT,Y,N,REG,Y
UNIVERSITY OF UTAH SPECIALTY SERVICES,2961726831.000,$null$,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,17.000,$null$,UT,Y,Y,REG,N
CONWAY ANESTHESIA ASSOCIATES,3072402890.000,$null$,PQRS_GRP_193_1,Perioperative Temperature Management,97.000,$null$,SC,N,N,REG,Y
EMERGENCY COVERAGE CORP,3072412592.000,$null$,PQRS_GRP_116_1,Antibiotic Treatment for Adults with Acute Bronchitis: Avoidance of Inappropriate Use,27.000,$null$,TN,Y,N,REG,N
EMERGENCY COVERAGE CORP,3072412592.000,$null$,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use)*,80.000,$null$,TN,Y,Y,REG,Y
EMERGENCY COVERAGE CORP,3072412592.000,$null$,PQRS_GRP_332_1,Adult Sinusitis: Appropriate Choice of Antibiotic: Amoxicillin Prescribed for Patients with Acute Bacterial Sinusitis (Appropriate Use),37.000,$null$,TN,Y,N,REG,Y
EMERGENCY COVERAGE CORP,3072412592.000,$null$,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,99.000,$null$,TN,Y,N,REG,Y
EMERGENCY COVERAGE CORP,3072412592.000,$null$,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,44.000,$null$,TN,Y,N,REG,Y
EMERGENCY COVERAGE CORP,3072412592.000,$null$,PQRS_GRP_93_1,Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy Â– Avoidance of Inappropriate Use,56.000,$null$,TN,Y,N,REG,Y
PROVIDENCE HEALTH AND SERVICES - OREGON,3072415652.000,$null$,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,94.000,$null$,OR,Y,N,REG,Y
WOMEN'S CARE OF WISCONSIN, S.C.,3072416601.000,$null$,PQRS_GRP_48_1,Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,62.000,$null$,WI,Y,N,REG,Y
BLESSING HOSPITAL,3072422534.000,$null$,PQRS_GRP_116_1,Antibiotic Treatment for Adults with Acute Bronchitis: Avoidance of Inappropriate Use,18.000,$null$,IL,Y,N,REG,N
BLESSING HOSPITAL,3072422534.000,$null$,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,94.000,$null$,IL,Y,N,REG,Y
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716.000,$null$,PQRS_GRP_131_1,Pain Assessment and Follow-Up,99.000,$null$,IL,Y,N,REG,Y
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716.000,$null$,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,100.000,$null$,IL,Y,N,REG,Y
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716.000,$null$,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,100.000,$null$,IL,Y,N,REG,Y
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716.000,$null$,PQRS_GRP_7_2,Coronary Artery Disease (CAD): Beta-Blocker Therapy Â– Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF < 40%),100.000,$null$,IL,Y,N,REG,Y
UNIVERSITY OF KENTUCKY,3072425289.000,$null$,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,29.000,$null$,KY,Y,N,WI,Y
UNIVERSITY OF KENTUCKY,3072425289.000,$null$,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,3.000,$null$,KY,Y,N,WI,Y
UNIVERSITY OF KENTUCKY,3072425289.000,$null$,PQRS_GRP_112_1,Breast Cancer Screening,11.000,$null$,KY,Y,N,WI,Y
UNIVERSITY OF KENTUCKY,3072425289.000,$null$,PQRS_GRP_113_1,Colorectal Cancer Screening,8.000,$null$,KY,Y,N,WI,Y
UNIVERSITY OF KENTUCKY,3072425289.000,$null$,PQRS_GRP_117_1,Diabetes: Eye Exam,4.000,$null$,KY,Y,N,WI,Y
UNIVERSITY OF KENTUCKY,3072425289.000,$null$,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),66.000,$null$,KY,Y,N,WI,Y
UNIVERSITY OF KENTUCKY,3072425289.000,$null$,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,74.000,$null$,KY,Y,N,WI,Y
UNIVERSITY OF KENTUCKY,3072425289.000,$null$,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,97.000,$null$,KY,Y,N,WI,Y
UNIVERSITY OF KENTUCKY,3072425289.000,$null$,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,0.000,$null$,KY,Y,N,WI,Y
UNIVERSITY OF KENTUCKY,3072425289.000,$null$,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,81.000,$null$,KY,Y,N,WI,Y
UNIVERSITY OF KENTUCKY,3072425289.000,$null$,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,98.000,$null$,KY,Y,N,WI,Y
UNIVERSITY OF KENTUCKY,3072425289.000,$null$,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,70.656,1.000,KY,Y,N,WI,Y
UNIVERSITY OF KENTUCKY,3072425289.000,$null$,PQRS_GRP_318_1,Falls: Screening for Fall Risk,81.000,$null$,KY,Y,N,WI,Y
UNIVERSITY OF KENTUCKY,3072425289.000,$null$,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),70.656,1.000,KY,Y,N,WI,Y
THE MONROE CLINIC, INC.,3072425495.000,$null$,PQRS_GRP_121_1,Adult Kidney Disease: Laboratory Testing (Lipid Profile),77.000,$null$,WI,Y,N,REG,Y
THE MONROE CLINIC, INC.,3072425495.000,$null$,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic Â– First OR Second Generation Cephalosporin,85.000,$null$,WI,Y,N,REG,Y
TRINITY CLINIC,3072426741.000,$null$,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,67.000,$null$,TX,Y,N,WI,Y
TRINITY CLINIC,3072426741.000,$null$,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,79.000,$null$,TX,Y,N,WI,Y
TRINITY CLINIC,3072426741.000,$null$,PQRS_GRP_112_1,Breast Cancer Screening,76.000,$null$,TX,Y,N,WI,Y
TRINITY CLINIC,3072426741.000,$null$,PQRS_GRP_113_1,Colorectal Cancer Screening,77.000,$null$,TX,Y,N,WI,Y
TRINITY CLINIC,3072426741.000,$null$,PQRS_GRP_117_1,Diabetes: Eye Exam,68.000,$null$,TX,Y,N,WI,Y
TRINITY CLINIC,3072426741.000,$null$,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),75.000,$null$,TX,Y,N,WI,Y
TRINITY CLINIC,3072426741.000,$null$,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,91.000,$null$,TX,Y,N,WI,Y
TRINITY CLINIC,3072426741.000,$null$,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,100.000,$null$,TX,Y,N,WI,Y
TRINITY CLINIC,3072426741.000,$null$,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,51.000,$null$,TX,Y,N,WI,Y
TRINITY CLINIC,3072426741.000,$null$,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,89.000,$null$,TX,Y,N,WI,Y
TRINITY CLINIC,3072426741.000,$null$,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,95.000,$null$,TX,Y,N,WI,Y
CHARLESTON AREA MEDICAL CENTER, INC.,3375441637.000,$null$,PQRS_GRP_117_1,Diabetes: Eye Exam,27.000,$null$,WV,Y,N,WI,Y
TRINITY CLINIC,3072426741.000,$null$,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,60.000,$null$,TX,Y,N,WI,Y
TRINITY CLINIC,3072426741.000,$null$,PQRS_GRP_318_1,Falls: Screening for Fall Risk,100.000,$null$,TX,Y,N,WI,Y
TRINITY CLINIC,3072426741.000,$null$,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),73.000,$null$,TX,Y,N,WI,Y
HEART AND LUNG INSTITUTE OF UTAH INC,3072427707.000,$null$,PQRS_GRP_47_1,Care Plan,43.000,$null$,UT,N,N,REG,Y
HEART AND LUNG INSTITUTE OF UTAH INC,3072427707.000,$null$,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,80.000,$null$,UT,N,N,REG,Y
OBSTETRICS GYNECOLOGY ASSOCIATES PA,3072500073.000,$null$,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,94.000,$null$,MS,Y,N,REG,Y
OBSTETRICS GYNECOLOGY ASSOCIATES PA,3072500073.000,$null$,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,58.000,$null$,MS,Y,N,REG,Y
OBSTETRICS GYNECOLOGY ASSOCIATES PA,3072500073.000,$null$,PQRS_GRP_48_1,Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,87.000,$null$,MS,Y,N,REG,Y
PENINSULA REGIONAL MEDICAL CENTER,3072509702.000,$null$,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use)*,44.000,$null$,MD,Y,Y,REG,Y
PENINSULA REGIONAL MEDICAL CENTER,3072509702.000,$null$,PQRS_GRP_332_1,Adult Sinusitis: Appropriate Choice of Antibiotic: Amoxicillin Prescribed for Patients with Acute Bacterial Sinusitis (Appropriate Use),51.000,$null$,MD,Y,N,REG,Y
PENINSULA REGIONAL MEDICAL CENTER,3072509702.000,$null$,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,48.000,$null$,MD,Y,N,REG,Y
PENINSULA REGIONAL MEDICAL CENTER,3072509702.000,$null$,PQRS_GRP_41_1,Osteoporosis: Pharmacologic Therapy for Men and Women Aged 50 Years and Older,63.000,$null$,MD,Y,N,REG,Y
THE EAR, NOSE, AND THROAT CLINIC AND HEARING CENTER PA,3072518992.000,$null$,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,60.000,$null$,MN,N,N,REG,Y
THE EAR, NOSE, AND THROAT CLINIC AND HEARING CENTER PA,3072518992.000,$null$,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,13.000,$null$,MN,N,Y,REG,N
THE EAR, NOSE, AND THROAT CLINIC AND HEARING CENTER PA,3072518992.000,$null$,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,2.000,$null$,MN,N,Y,REG,Y
THE EAR, NOSE, AND THROAT CLINIC AND HEARING CENTER PA,3072518992.000,$null$,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use)*,44.000,$null$,MN,N,Y,REG,Y
THE EAR, NOSE, AND THROAT CLINIC AND HEARING CENTER PA,3072518992.000,$null$,PQRS_GRP_93_1,Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy Â– Avoidance of Inappropriate Use,54.000,$null$,MN,N,N,REG,Y
ELITE SPORTS INC,3072539337.000,$null$,PQRS_GRP_131_1,Pain Assessment and Follow-Up,100.000,$null$,MA,Y,N,REG,Y
ELITE SPORTS INC,3072539337.000,$null$,PQRS_GRP_182_1,Functional Outcome Assessment,100.000,$null$,MA,Y,N,REG,Y
BHC MESILLA VALLEY HOSPITAL, LLC,3072553056.000,$null$,PQRS_GRP_131_1,Pain Assessment and Follow-Up,15.000,$null$,NM,Y,N,REG,Y
BHC MESILLA VALLEY HOSPITAL, LLC,3072553056.000,$null$,PQRS_GRP_383_1,Adherence to Antipsychotic Medications for Individuals with Schizophrenia,100.000,$null$,NM,Y,N,REG,Y
BHC MESILLA VALLEY HOSPITAL, LLC,3072553056.000,$null$,PQRS_GRP_391_1,Follow-up After Hospitalization for Mental Illness (FUH),100.000,$null$,NM,Y,N,REG,Y
BHC MESILLA VALLEY HOSPITAL, LLC,3072553056.000,$null$,PQRS_GRP_391_2,Follow-up After Hospitalization for Mental Illness (FUH),100.000,$null$,NM,Y,N,REG,Y
BHC MESILLA VALLEY HOSPITAL, LLC,3072553056.000,$null$,PQRS_GRP_46_1,Medication Reconciliation,100.000,$null$,NM,Y,N,REG,N
BHC MESILLA VALLEY HOSPITAL, LLC,3072553056.000,$null$,PQRS_GRP_46_2,Medication Reconciliation,100.000,$null$,NM,Y,N,REG,Y
KINGS DAUGHTERS MEDICAL CENTER,3072575539.000,$null$,PQRS_GRP_193_1,Perioperative Temperature Management,100.000,$null$,MS,Y,N,REG,Y
KINGS DAUGHTERS MEDICAL CENTER,3072575539.000,$null$,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,97.000,$null$,MS,Y,N,REG,Y
BODY MECHANIX PHYSICAL THERAPY INC,3072575836.000,$null$,PQRS_GRP_131_1,Pain Assessment and Follow-Up,100.000,$null$,CA,Y,N,REG,Y
BODY MECHANIX PHYSICAL THERAPY INC,3072575836.000,$null$,PQRS_GRP_154_1,Falls: Risk Assessment,98.000,$null$,CA,Y,N,REG,Y
BODY MECHANIX PHYSICAL THERAPY INC,3072575836.000,$null$,PQRS_GRP_155_1,Falls: Plan of Care,100.000,$null$,CA,Y,N,REG,Y
BODY MECHANIX PHYSICAL THERAPY INC,3072575836.000,$null$,PQRS_GRP_182_1,Functional Outcome Assessment,100.000,$null$,CA,Y,N,REG,Y
DURHAM NEPHROLOGY ASSOCIATES PA,3072589027.000,$null$,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,96.000,$null$,NC,Y,N,REG,Y
DURHAM NEPHROLOGY ASSOCIATES PA,3072589027.000,$null$,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,100.000,$null$,NC,Y,N,REG,Y
DURHAM NEPHROLOGY ASSOCIATES PA,3072589027.000,$null$,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,77.000,$null$,NC,Y,N,REG,Y
DURHAM NEPHROLOGY ASSOCIATES PA,3072589027.000,$null$,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,77.000,$null$,NC,Y,N,REG,Y
DURHAM NEPHROLOGY ASSOCIATES PA,3072589027.000,$null$,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,100.000,$null$,NC,Y,N,REG,Y
NEUROSURGICAL ASSOCIATES PC,3072594704.000,$null$,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,38.000,$null$,VA,Y,Y,REG,N
NEUROSURGICAL ASSOCIATES PC,3072594704.000,$null$,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,23.000,$null$,VA,Y,Y,REG,Y
WEITZNER YONKER AND KAINE MD PA,3072598655.000,$null$,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,76.000,$null$,FL,Y,N,REG,Y
WEITZNER YONKER AND KAINE MD PA,3072598655.000,$null$,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,75.000,$null$,FL,Y,N,REG,Y
WEITZNER YONKER AND KAINE MD PA,3072598655.000,$null$,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,13.000,$null$,FL,Y,Y,REG,N
WEITZNER YONKER AND KAINE MD PA,3072598655.000,$null$,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,2.000,$null$,FL,Y,Y,REG,Y
WEITZNER YONKER AND KAINE MD PA,3072598655.000,$null$,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,80.000,$null$,FL,Y,N,REG,Y
